"","filial_name","amount","cto_qty"
"1","Москва",3262948956,1553
"2","Новосибирск",1859893893,1362
"3","Красноярск",651357739,842
"4","Санкт-Петербург",640762618,1511
"5","Омск",468081576,595
"6","Екатеринбург",442016143,608
"7","Томск",431510462,215
"8","Барнаул",425481087,262
"9","Кемерово",390754561,406
"10","Тюмень",370540037,518
"11","Иркутск",364735395,455
"12","Нижний Новгород",362149288,415
"13","Краснодар",345375947,993
"14","Владивосток",318697186,262
"15","Новокузнецк",297995426,195
"16","Хабаровск",271767450,201
"17","Абакан",254638420,327
"18","Ростов-на-Дону",237788864,540
"19","Челябинск",194544359,367
"20","Оренбург",186222913,415
"21","Тольятти",179395067,119
"22","Самара",163482138,275
"23","Ярославль",154123019,446
"24","Пермь",143530489,492
"25","Чита",139543323,209
"26","Курган",132877733,241
"27","Уфа",113197548,257
"28","Ангарск",112523972,59
"29","Сургут",110900056,190
"30","Саратов",110510056,279
"31","Нижний Тагил",105891044,193
"32","Ставрополь",94330016,138
"33","Братск",91579807,126
"34","Комсомольск-на-Амуре",87030262,55
"35","Улан-Удэ",85944477,71
"36","Воронеж",78803438,276
"37","Прокопьевск",70241048,47
"38","Рубцовск",61317722,36
"39","Бийск",59216100,106
"40","Мурманск",57991522,117
"41","Тулун",52436277,41
"42","Великий Новгород",52035783,116
"43","Ленинск-Кузнецкий",50184293,50
"44","Новороссийск",47707677,117
"45","Междуреченск",43668234,24
"46","Ачинск",41409357,62
"47","Находка",37001241,61
"48","Астрахань",33440653,83
"49","Тверь",32345632,131
"50","Нижневартовск",30488149,92
"51","Тула",28225047,107
"52","Ульяновск",24883324,114
"53","Биробиджан",21834583,40
"54","Волгоград",20998720,135
"55","Пятигорск",20165082,70
"56","Магнитогорск",17015860,57
"57","Уссурийск",12481615,51
"58","Волжский",6569628,34
"59","Павлодар",810291,15
"60","Барабинск",260258,6
"61","Симферополь",81437,12
"62","Усть-Каменогорск",76183,3
"63","Тамбов",22105,1
